Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Start Date,Start Year,Completion Date (B1),Completion Date,Duration,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
027-000000010,593,27,Office of Personnel Management,Consolidated Business Information System (CBIS),1141,,CBIS FY11 Tasks and Milestones,2009-01-10T00:00:00Z,2009,2011-12-30T00:00:00Z,2011,1084,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,13.4,-245,-29.88,0,0,13.308513,13.308513,2011-05-12T00:00:00Z,1970-01-01T08:42:42Z,FY11
027-999990032,594,27,Office of Personnel Management,Human Resources Line of Business (HR LOB),176,,Human Resources Line of Business,2005-03-10T00:00:00Z,2005,2017-09-29T00:00:00Z,2017,4585,,,60.662272,0,0,6.9E-5,0,13.19327,13.193201,2012-04-30T00:00:00Z,1970-01-01T06:18:45Z,HRLOB-0001
027-999991219,596,27,Office of Personnel Management,EHRI electronic Official Personnel Folder (eOPF),268,,Electronic Official Personnel Folder (eOPF),2004-01-10T00:00:00Z,2004,2016-09-30T00:00:00Z,2016,4646,,,557.27,0,0,3.094175,7.01,44.12332,41.029145,2012-02-03T00:00:00Z,1970-01-01T08:37:44Z,eOPF
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,230,,New Base Technology,2008-01-10T00:00:00Z,2008,2011-09-30T00:00:00Z,2011,1358,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,322.78,0,0,5.066,11.17,45.359,40.293,2012-02-28T00:00:00Z,1970-01-01T08:41:30Z,1
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,231,,Legacy Migration,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,22.2935,0,0,0,0,22.2934,22.2934,2012-02-28T00:00:00Z,1970-01-01T08:41:30Z,2
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,232,,Post Deployment Stabilization,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,4.084,0,0,0,0,4.084,4.084,2011-09-16T00:00:00Z,1970-01-01T10:39:55Z,3
027-000000019,598,27,Office of Personnel Management,EPIC Operations and Maintenance (O &amp; M),228,,2012 Maintenance Patches,2012-01-06T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,267,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,10.282,0,0,0,0,10.282,10.282,2012-06-28T00:00:00Z,1970-01-01T20:04:35Z,1
027-000000019,598,27,Office of Personnel Management,EPIC Operations and Maintenance (O &amp; M),229,,Maintenance Prior to 2012,2008-01-10T00:00:00Z,2008,2011-09-30T00:00:00Z,2011,1358,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,101.548,0,0,2.833,5.83,48.562,45.729,2012-01-25T00:00:00Z,1970-01-01T08:47:11Z,2
027-000000053,600,27,Office of Personnel Management,USAJOBS,227,,USAJOBS 3.0,2010-01-10T00:00:00Z,2010,2016-09-30T00:00:00Z,2016,2454,,,84,0,0,0.234436,2.03,11.556,11.321564,2012-08-23T00:00:00Z,1970-01-01T10:58:00Z,1
027-000000018,601,27,Office of Personnel Management,Enterprise Infrastructure Operations (EIO),511,,DTP Second Generation,2011-03-10T00:00:00Z,2011,2013-10-31T00:00:00Z,2013,966,,,1.22,0,0,0,0,1.22,1.22,2012-02-03T00:00:00Z,1970-01-01T09:38:59Z,1
027-000000018,601,27,Office of Personnel Management,Enterprise Infrastructure Operations (EIO),512,,Citrix Phase II,2011-01-10T00:00:00Z,2011,2013-12-31T00:00:00Z,2013,1086,,,0.706,0,0,0,0,0.706,0.706,2012-02-03T00:00:00Z,1970-01-01T09:38:59Z,2
027-000000018,601,27,Office of Personnel Management,Enterprise Infrastructure Operations (EIO),513,,EIO for 2011,2010-01-10T00:00:00Z,2010,2011-09-30T00:00:00Z,2011,627,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,48.3,0,0,6.580825,14.62,45.01,38.429175,2012-01-25T00:00:00Z,1970-01-01T08:47:12Z,3
027-000000052,872,27,Office of Personnel Management,USA Staffing System,177,,FY12 Q2 Core USA Staffing System Update,2011-03-10T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,386,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,2.984,0,0,0.297511,9.97,2.984,2.686489,2012-05-21T00:00:00Z,1970-01-01T06:29:38Z,1
027-000000052,872,27,Office of Personnel Management,USA Staffing System,179,,USA Staffing for FY2011,2010-01-10T00:00:00Z,2010,2011-09-30T00:00:00Z,2011,627,2011-09-30T00:00:00Z,2011-10-14T00:00:00Z,11.364,-14,-7.69,-0.411,-3.62,11.364,11.775,2012-01-30T00:00:00Z,1970-01-01T13:26:36Z,11
027-000000052,872,27,Office of Personnel Management,USA Staffing System,180,,FY12 Q4 Core USA Staffing System Update,2012-02-04T00:00:00Z,2012,2012-09-29T00:00:00Z,2012,237,2012-09-29T00:00:00Z,2012-09-29T00:00:00Z,3.05,0,0,0,0,3.05,3.05,2012-04-30T00:00:00Z,1970-01-01T06:18:45Z,2
027-000000052,872,27,Office of Personnel Management,USA Staffing System,181,,FY12 Q1 Oracle Security Patch (Database and Operating System),2011-10-18T00:00:00Z,2011,2011-11-30T00:00:00Z,2011,43,2011-11-30T00:00:00Z,2011-03-12T00:00:00Z,0.01,-3,-6.98,2.0E-4,2,0.01,0.0098,2012-03-28T00:00:00Z,1970-01-01T06:20:38Z,3
027-000000052,872,27,Office of Personnel Management,USA Staffing System,182,,FY12 Q2 Oracle Security Patch (Database and Operating System),2012-01-17T00:00:00Z,2012,2012-02-29T00:00:00Z,2012,43,2012-02-29T00:00:00Z,2012-03-03T00:00:00Z,0.01,-3,-6.98,2.07E-4,2.07,0.01,0.009793,2012-05-21T00:00:00Z,1970-01-01T06:29:38Z,4
027-000000052,872,27,Office of Personnel Management,USA Staffing System,183,,FY12 Q3 Oracle Security Patch (Database and Operating System),2012-04-17T00:00:00Z,2012,2012-05-31T00:00:00Z,2012,44,2012-05-31T00:00:00Z,2012-02-06T00:00:00Z,0.01,-2,-4.55,9.2E-5,0.92,0.01,0.009908,2012-05-07T00:00:00Z,1970-01-01T06:23:00Z,5
027-000000052,872,27,Office of Personnel Management,USA Staffing System,184,,FY12 Q4 Oracle Security Patch (Database and Operating System),2012-07-17T00:00:00Z,2012,2012-08-31T00:00:00Z,2012,45,,,0.01,0,0,0,0,0.01,0.01,2011-09-16T00:00:00Z,1970-01-01T07:16:37Z,6
027-000000052,872,27,Office of Personnel Management,USA Staffing System,185,,FY12 Continuity of Operations (COOP) Plan Test and Update,2012-01-03T00:00:00Z,2012,2012-03-31T00:00:00Z,2012,87,2012-03-31T00:00:00Z,2012-04-27T00:00:00Z,0.025,-27,-90,-8.4E-4,-3.36,0.025,0.02584,2012-05-21T00:00:00Z,1970-01-01T06:29:38Z,7
027-000000052,872,27,Office of Personnel Management,USA Staffing System,186,,FY12 Contingency Plan Test and Update,2012-01-04T00:00:00Z,2012,2012-04-30T00:00:00Z,2012,116,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,0.015,0,0,-0.001493,-9.95,0.015,0.016493,2012-05-21T00:00:00Z,1970-01-01T06:29:39Z,8
027-000000052,872,27,Office of Personnel Management,USA Staffing System,187,,FY12 EOD Update 1201*,2011-04-10T00:00:00Z,2011,2012-06-03T00:00:00Z,2012,420,2012-06-03T00:00:00Z,2012-04-15T00:00:00Z,0.651,-40,-25.97,0.02457,3.77,0.651,0.62643,2012-05-21T00:00:00Z,1970-01-01T06:29:39Z,9
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1455,16181,PROJ: LAS ADMIN,2010-10-09T00:00:00Z,2010,2011-05-26T00:00:00Z,2011,229,2011-05-26T00:00:00Z,2011-05-26T00:00:00Z,0.034,0,0,0,0,0.034,0.034,2012-06-29T00:00:00Z,1970-01-01T10:25:21Z,16181
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1456,16182,PROJ: LAS Document Loan Accounting,2012-01-06T00:00:00Z,2012,2013-06-28T00:00:00Z,2013,538,,,1.2237,0,0,0,0,1.2237,1.2237,2012-06-29T00:00:00Z,1970-01-01T10:25:21Z,16182
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1457,16183,PROJ: LAS Implement Improvements,2012-01-06T00:00:00Z,2012,2013-07-30T00:00:00Z,2013,570,,,3.6407,0,0,0,0,3.6407,3.6407,2012-06-29T00:00:00Z,1970-01-01T10:25:21Z,16183
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1458,16184,PROJ: LAS Incremental UI,2010-09-27T00:00:00Z,2010,2012-05-27T00:00:00Z,2012,608,2012-04-30T00:00:00Z,2012-05-27T00:00:00Z,1.6193,-27,-4.65,-0.0163,-1.01,1.6192,1.6355,2012-06-29T00:00:00Z,1970-01-01T10:25:21Z,16184
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1459,16185,PROJ: LAS Perform Root Cause,2011-01-06T00:00:00Z,2011,2012-08-31T00:00:00Z,2012,602,2012-08-31T00:00:00Z,2012-08-31T00:00:00Z,0.7257,0,0,0.0195,2.69,0.7257,0.7062,2012-07-30T00:00:00Z,1970-01-01T11:35:44Z,16185
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1460,16186,PROJ: LAS PMO,2010-09-15T00:00:00Z,2010,2013-09-13T00:00:00Z,2013,1094,,,3.0526,1,0.09,0,0,3.0526,3.0526,2012-08-31T00:00:00Z,1970-01-01T10:22:20Z,16186
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1461,16187,PROJ: LAS Port,2010-09-27T00:00:00Z,2010,2018-09-28T00:00:00Z,2018,2923,,,5.534,0,0,-0.0090,-0.23,3.9842,3.9932,2012-08-31T00:00:00Z,1970-01-01T10:22:20Z,16187
028-000001004,461,28,Small Business Administration,OCA: Loan Accounting System (LAS),1462,16806,PROJ: LAS Microloans Automation Project FY2010,2010-09-13T00:00:00Z,2010,2011-08-29T00:00:00Z,2011,350,2011-01-06T00:00:00Z,2011-08-29T00:00:00Z,0.388,-89,-296.67,0,0,0.0776,0.0776,2011-01-12T00:00:00Z,1970-01-01T17:47:11Z,16806
028-000000100,465,28,Small Business Administration,OCPL: Business Gateway,972,15920,PROJ: FY11 Small Business Platform / Green,2010-01-10T00:00:00Z,2010,2011-09-30T00:00:00Z,2011,627,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,1.25,0,0,0,0,1.25,1.25,2011-11-30T00:00:00Z,1970-01-01T12:10:21Z,15920
028-000000100,465,28,Small Business Administration,OCPL: Business Gateway,973,15922,PROJ: FY11-FY12 SBA.gov,2011-06-16T00:00:00Z,2011,2012-09-28T00:00:00Z,2012,470,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,5.696,0,0,-0.0424,-0.74,5.6958,5.7382,2012-07-31T00:00:00Z,1970-01-01T07:20:00Z,15922
028-000007007,466,28,Small Business Administration,OCIO: Identity and Access Management and Homeland Security Presidential Directive-12 (HSPD-12),1401,14655,PROJ: HSPD12 FY 2011 Mixed,2010-08-27T00:00:00Z,2010,2011-09-30T00:00:00Z,2011,399,2011-09-30T00:00:00Z,2011-12-30T00:00:00Z,1.3,-91,-25,0.1104,8.99,1.2286,1.1182,2011-12-30T00:00:00Z,1970-01-01T07:17:16Z,14655
028-000007007,466,28,Small Business Administration,OCIO: Identity and Access Management and Homeland Security Presidential Directive-12 (HSPD-12),1402,30060,PROJ: HSPD12 FY2012 DME,2011-03-10T00:00:00Z,2011,2012-09-28T00:00:00Z,2012,567,2012-06-29T00:00:00Z,2012-06-29T00:00:00Z,0.37,0,0,0,0,0.15,0.15,2012-07-31T00:00:00Z,1970-01-01T07:30:32Z,30060
028-000008007,888,28,Small Business Administration,OII: Small Business Innovative Research (SBIR),1400,14209,PROJ: Small Business Innovative Research (SBIR),2010-08-17T00:00:00Z,2010,2011-11-11T00:00:00Z,2011,451,2011-11-11T00:00:00Z,2011-11-26T00:00:00Z,2.25,-15,-3.63,0.0865,6.12,1.4138,1.3273,2011-12-30T00:00:00Z,1970-01-01T06:54:57Z,14209
028-000002003,892,28,Small Business Administration,OII: Small Business Investment Company (SBIC),1395,14208,PROJ: Small Business Investment Company (SBIC),2010-01-21T00:00:00Z,2010,2012-09-28T00:00:00Z,2012,980,,,1.5,0,0,-0.0694,-6.39,1.0869,1.1563,2012-07-30T00:00:00Z,1970-01-01T11:25:20Z,14208
028-000003005,1097,28,Small Business Administration,GCBD: GCBD Consolidated IT Investments,1336,29471,PROJ: OneTrack CMS,2011-04-25T00:00:00Z,2011,2013-10-31T00:00:00Z,2013,920,,,1.615,73,11.35,0.7796,48.56,1.6054,0.8258,2012-08-31T00:00:00Z,1970-01-01T07:59:49Z,29471
028-000003005,1097,28,Small Business Administration,GCBD: GCBD Consolidated IT Investments,2869,36157,PROJ: CASE,2011-07-26T00:00:00Z,2011,2013-04-30T00:00:00Z,2013,644,,,1.6,-143,-22.2,0,0,1.6,1.6,2012-07-30T00:00:00Z,1970-01-01T10:32:44Z,36157
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1620,17190,PROJ: ITI MSSS UnisysBridge,2010-09-14T00:00:00Z,2010,2012-12-14T00:00:00Z,2012,822,2012-12-14T00:00:00Z,2012-12-14T00:00:00Z,8.028,0,0,0,0,8.028,8.028,2012-07-31T00:00:00Z,1970-01-01T09:24:07Z,17190
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1621,17191,PROJ: ITI MSSS Hosting,2010-09-14T00:00:00Z,2010,2018-09-28T00:00:00Z,2018,2936,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,53.1308,0,0,0,0,12.2758,12.2758,2012-07-31T00:00:00Z,1970-01-01T09:24:07Z,17191
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1622,17192,PROJ: ITI MSSS MigrateSybase,2010-04-08T00:00:00Z,2010,2018-09-28T00:00:00Z,2018,3095,,,3.2197,0,0,1.0E-4,0,3.0034,3.0033,2012-07-31T00:00:00Z,1970-01-01T09:24:07Z,17192
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1623,29472,PROJ: Wireless Modernization,2011-10-01T00:00:00Z,2011,2012-09-28T00:00:00Z,2012,363,,,0.38,-225,-45.27,-0.0134,-3.53,0.38,0.3934,2012-08-31T00:00:00Z,1970-01-01T07:52:09Z,29472
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1624,29473,PROJ: Domain Authentication,2011-04-15T00:00:00Z,2011,2012-04-20T00:00:00Z,2012,371,2012-04-20T00:00:00Z,2012-09-17T00:00:00Z,0.3,-150,-40.43,0,0,0.1162,0.1162,2012-08-31T00:00:00Z,1970-01-01T07:52:09Z,29473
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1625,29474,PROJ: Data Center Consolidation,2011-08-08T00:00:00Z,2011,2014-12-31T00:00:00Z,2014,1241,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,15.1,0,0,0,0,0.2625,0.2625,2012-02-29T00:00:00Z,1970-01-01T09:34:13Z,29474
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1627,29772,PROJ: Mobility Applications FY 2012 DME,2011-03-10T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,934,,,3.4,-120,-39.74,0,0,0.5449,0.5449,2012-08-31T00:00:00Z,1970-01-01T07:52:09Z,29772
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1628,29780,PROJ: Backup Consolidation - FY12,2011-03-10T00:00:00Z,2011,2012-09-28T00:00:00Z,2012,567,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0.5,0,0,0,0,0.5,0.5,2012-05-31T00:00:00Z,1970-01-01T11:03:01Z,29780
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,2949,36632,PROJ: OCIO IT Support Services Acquisition,2012-02-14T00:00:00Z,2012,2017-05-31T00:00:00Z,2017,1932,,,75,0,0,0,0,8.0375,8.0375,2012-06-29T00:00:00Z,1970-01-01T09:05:28Z,36632
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2368,1003180603,Veterans On Line Application (VONAPP) II,2011-02-18T00:00:00Z,2011,2015-09-30T00:00:00Z,2015,1684,,,30.49,-103,-28.93,0,0,2.97375,2.97375,2012-06-21T00:00:00Z,1970-01-01T10:42:03Z,1003180603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2369,1006040604,VAM Health Resource Center (HRC) Phase II,2011-04-28T00:00:00Z,2011,2014-09-30T00:00:00Z,2014,1251,2012-03-04T00:00:00Z,2012-03-04T00:00:00Z,47.256105,-150,-43.99,0,0,0.177984,0.177984,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1006040604
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2370,1007290604,E-Benefits Portal,2010-05-04T00:00:00Z,2010,2012-11-18T00:00:00Z,2012,929,2012-11-18T00:00:00Z,2012-11-18T00:00:00Z,67.026,0,0,0,0,9.05,9.05,2012-06-21T00:00:00Z,1970-01-01T10:42:03Z,1007290604
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2371,1009300603,VAM Health Resource Center (HRC) Phase I,2010-01-06T00:00:00Z,2010,2011-12-30T00:00:00Z,2011,723,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,3.582984,-245,-134.62,0,0,1.702803,1.702803,2012-01-19T00:00:00Z,1970-01-01T14:58:55Z,1009300603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2372,1010180603,IAM Identity Services,2009-07-15T00:00:00Z,2009,2016-09-30T00:00:00Z,2016,2634,2012-05-16T00:00:00Z,2012-05-16T00:00:00Z,114.572699,-107,-39.05,0.032532,0.25,13.163177,13.130645,2012-03-19T00:00:00Z,1970-01-01T08:43:00Z,1010180603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2373,1011010607,VRM Knowledge Management,2010-09-08T00:00:00Z,2010,2015-09-30T00:00:00Z,2015,1848,,,15.665358,0,0,0,0,3.933,3.933,2012-08-14T00:00:00Z,1970-01-01T06:10:44Z,1011010607
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2374,1011010608,Customer Relationship Management (CRM)_Unified Desktop (UD),2010-01-07T00:00:00Z,2010,2015-09-30T00:00:00Z,2015,2091,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,93.055742,0,0,0,0,21.932999,21.932999,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1011010608
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2375,1011020603,VRM Service-Oriented Architecture (SOA),2010-01-11T00:00:00Z,2010,2015-09-30T00:00:00Z,2015,2087,2012-01-08T00:00:00Z,2012-01-08T00:00:00Z,11.356,-30,-7.56,0,0,3.649,3.649,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1011020603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2376,1011020604,VetSuccess Rehost,2010-12-13T00:00:00Z,2010,2013-01-11T00:00:00Z,2013,760,,,24.634,-197,-33.28,0,0,3.108,3.108,2011-12-20T00:00:00Z,1970-01-01T07:09:26Z,1011020604
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2377,1011020605,Member Support Services,2010-01-10T00:00:00Z,2010,2015-09-30T00:00:00Z,2015,2088,2012-03-30T00:00:00Z,2012-06-23T00:00:00Z,6.65958,-154,-46.25,-0.751909,-71.61,1.05,1.801909,2012-06-21T00:00:00Z,1970-01-01T10:42:03Z,1011020605
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2378,1011020606,VADoD Identity Repository (VADIR),2010-04-01T00:00:00Z,2010,2015-09-30T00:00:00Z,2015,2008,,,28.349266,0,0,0,0,7.858,7.858,2012-01-19T00:00:00Z,1970-01-01T14:58:55Z,1011020606
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2379,1011020607,Auto-Enrollment,2012-01-03T00:00:00Z,2012,2014-08-31T00:00:00Z,2014,970,2012-09-22T00:00:00Z,2012-09-22T00:00:00Z,11.996822,0,0,0,0,0.6,0.6,2012-06-21T00:00:00Z,1970-01-01T10:42:03Z,1011020607
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2380,1011020608,Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA),2010-06-15T00:00:00Z,2010,2013-01-07T00:00:00Z,2013,937,,,39.876,31,3.69,0,0,5,5,2012-05-21T00:00:00Z,1970-01-01T14:09:03Z,1011020608
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2381,1011020609,Dual Eligible System Enhancements,2012-01-03T00:00:00Z,2012,2015-09-30T00:00:00Z,2015,1365,,,7,-154,-531.03,0,0,0.235417,0.235417,2011-12-20T00:00:00Z,1970-01-01T07:09:26Z,1011020609
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2382,1011020610,IAM Authorization Services,2010-01-09T00:00:00Z,2010,2017-09-30T00:00:00Z,2017,2820,,,72.495616,0,0,0,0,4.093279,4.093279,2012-03-19T00:00:00Z,1970-01-01T08:43:00Z,1011020610
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2383,1011020612,Military Service Data Sharing (MSDS),2010-01-06T00:00:00Z,2010,2015-09-30T00:00:00Z,2015,2092,,,14.268218,0,0,0.049083,1.84,2.671332,2.622249,2012-06-21T00:00:00Z,1970-01-01T10:42:03Z,1011020612
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2384,1011020613,Veteran Identity Eligibility Reporting System (VIERS),2011-02-28T00:00:00Z,2011,2015-06-28T00:00:00Z,2015,1580,,,20.68,0,0,0,0,5.045811,5.045811,2012-02-28T00:00:00Z,1970-01-01T14:14:49Z,1011020613
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2385,1011020614,Veteran Financial Application (VFA),2008-01-07T00:00:00Z,2008,2015-09-30T00:00:00Z,2015,2822,2012-04-20T00:00:00Z,2012-04-20T00:00:00Z,9.778918,-133,-41.05,0.352334,12.27,2.871334,2.519,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1011020614
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2386,1011040603,IAM Authentication Services,2010-01-09T00:00:00Z,2010,2016-09-30T00:00:00Z,2016,2455,,,56.631558,0,0,-15.864324,-388.3,4.085577,19.949901,2012-05-21T00:00:00Z,1970-01-01T14:09:03Z,1011040603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2387,1012030604,Veteran Online Health Application (VOA),2011-01-02T00:00:00Z,2011,2013-01-28T00:00:00Z,2013,757,,,20.726,-62,-8.53,0,0,1.8,1.8,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1012030604
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2388,1101220604,Warrior Support Information Sharing Initiative (ISI),2010-01-10T00:00:00Z,2010,2014-09-30T00:00:00Z,2014,1723,,,8.431318,0,0,0,0,3.2,3.2,2011-11-30T00:00:00Z,1970-01-01T19:50:28Z,1101220604
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2389,1105020605,Warrior Support Federal Case Management Tool (FCMT),2009-01-10T00:00:00Z,2009,2014-09-30T00:00:00Z,2014,2088,,,9.546318,0,0,0,0,7.315,7.315,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1105020605
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2390,1107010603,VAM Veteran Benefits Administration (VBA) Phase II,2011-04-28T00:00:00Z,2011,2014-03-31T00:00:00Z,2014,1068,2012-03-04T00:00:00Z,2012-03-04T00:00:00Z,43.717105,-150,-43.99,4.3204,10,43.204,38.8836,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1107010603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2391,1109020709,Stakeholder Enterprise Portal (SEP),2011-01-08T00:00:00Z,2011,2013-01-31T00:00:00Z,2013,754,,,60.51,0,0,0,0,6.5296,6.5296,2012-05-21T00:00:00Z,1970-01-01T14:09:03Z,1109020709
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2846,1110180547,Warrior Support Federal Case Management Tool (FCMT) - Integrated Disability Evaluation System (IDES) Phase l,2011-03-10T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,934,2012-03-30T00:00:00Z,2012-06-15T00:00:00Z,3.825,-154,-86.03,0,0,1.834856,1.834856,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1110180547
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,3081,1202240791,Warrior Support Disability Benefits Questionnaires (DBQ),2012-12-03T00:00:00Z,2012,2015-09-30T00:00:00Z,2015,1030,2012-11-06T00:00:00Z,2012-11-06T00:00:00Z,11.5,-81,-89.01,0,0,0.125,0.125,2012-04-17T00:00:00Z,1970-01-01T11:54:32Z,1202240791
029-555555110,8,29,Department of Veterans Affairs,Medical 21st Century TeleHealth,2250,1101130614,Access Received Closer To Home (ARCH) Automated Eligibility Determination,2011-03-01T00:00:00Z,2011,2014-01-08T00:00:00Z,2014,1044,2012-09-03T00:00:00Z,2012-08-03T00:00:00Z,38.67,1,0.39,-0.54404,-25.92,2.099,2.64304,2012-06-21T00:00:00Z,1970-01-01T10:40:10Z,1101130614
029-555555110,8,29,Department of Veterans Affairs,Medical 21st Century TeleHealth,2251,1103310606,Home TeleHealth (HT) Capabilities Enhancements,2010-01-10T00:00:00Z,2010,2017-09-29T00:00:00Z,2017,2818,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,62.629,0,0,0,0,7.997,7.997,2012-05-21T00:00:00Z,1970-01-01T14:08:43Z,1103310606
029-555555110,8,29,Department of Veterans Affairs,Medical 21st Century TeleHealth,2806,1003150603,National Teleradiology Program,2009-01-10T00:00:00Z,2009,2012-02-21T00:00:00Z,2012,1137,2012-02-21T00:00:00Z,2012-02-21T00:00:00Z,1.937422,0,0,0.090683,49.28,0.184,0.093317,2012-06-21T00:00:00Z,1970-01-01T10:40:10Z,1003150603
029-555555110,8,29,Department of Veterans Affairs,Medical 21st Century TeleHealth,2807,1003290613,Telemedicine (Store and Forward Telepathology Teleaudiology),2008-09-15T00:00:00Z,2008,2013-09-16T00:00:00Z,2013,1827,2012-01-06T00:00:00Z,2012-01-06T00:00:00Z,6.628798,0,0,0,0,2.021162,2.021162,2012-06-21T00:00:00Z,1970-01-01T10:40:10Z,1003290613
029-555555110,8,29,Department of Veterans Affairs,Medical 21st Century TeleHealth,2808,1105020604,National Teleradiology Program (SDE Infrastructure),2011-05-26T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,493,2012-03-28T00:00:00Z,2012-03-28T00:00:00Z,1.8,-156,-88.14,0,0,0.289181,0.289181,2012-06-21T00:00:00Z,1970-01-01T10:40:10Z,1105020604
